阿富汗	.af
阿爾巴尼亞	.al
阿爾及利亞	.dz
美屬薩摩亞	.as
安道爾	.ad
安哥拉	.ao
安圭拉	.ai
南極洲	.aq
安地卡及巴布達	.ag
阿根廷	.ar
亞美尼亞	.am
阿魯巴	.aw
澳洲	.au
奧地利	.at
亞塞拜然	.az
巴哈馬	.bs
巴林	.bh
孟加拉	.bd
巴貝多	.bb
白俄羅斯	.by
比利時	.be
貝里斯	.bz
貝南	.bj
百慕達	.bm
不丹	.bt
玻利維亞	.bo
波赫	.ba
波札那	.bw
布韋島	.bv
巴西	.br
英屬印度洋領地	.io
英屬維京群島	.vg
汶萊	.bn
保加利亞	.bg
布吉納法索	.bf
緬甸	.mm
蒲隆地	.bi
維德角	.cv
柬埔寨	.kh
喀麥隆	.cm
加拿大	.ca
開曼群島	.ky
中非	.cf
查德	.td
智利	.cl
中國	.cn
聖誕島	.cx
科科斯（基林）群島	.cc
哥倫比亞	.co
葛摩	.km
剛果民主共和國	.cd
剛果共和國	.cg
庫克群島	.ck
哥斯大黎加	.cr
象牙海岸	.ci
克羅埃西亞	.hr
古巴	.cu
古拉索	.cw
賽普勒斯	.cy
捷克	.cz
丹麥	.dk
吉布地	.dj
多米尼克	.dm
多明尼加	.do
厄瓜多	.ec
埃及	.eg
薩爾瓦多	.sv
赤道幾內亞	.gq
厄利垂亞	.er
愛沙尼亞	.ee
衣索比亞	.et
福克蘭群島	.fk
法羅群島	.fo
斐濟	.fj
芬蘭	.fi
法國	.fr
法屬圭亞那	.gf
法屬玻里尼西亞	.pf
法屬南部和南極領地	.tf
加彭	.ga
甘比亞	.gm
巴勒斯坦	.ps
喬治亞	.ge
德國	.de
迦納	.gh
直布羅陀	.gi
希臘	.gr
格陵蘭	.gl
格瑞那達	.gd
瓜地洛普	.gp
關島	.gu
瓜地馬拉	.gt
根西	.gg
幾內亞	.gn
幾內亞比索	.gw
蓋亞那	.gy
海地	.ht
赫德島和麥克唐納群島	.hm
梵蒂岡	.va
宏都拉斯	.hn
中國香港	.hk
匈牙利	.hu
冰島	.is
印度	.in
印尼	.id
伊朗	.ir
伊拉克	.iq
愛爾蘭	.ie
曼島	.im
以色列	.il
義大利	.it
牙買加	.jm
日本	.jp
澤西	.je
約旦	.jo
哈薩克	.kz
肯亞	.ke
吉里巴斯	.ki
北韓	.kp
韓國	.kr
科威特	.kw
吉爾吉斯	.kg
寮國	.la
拉脫維亞	.lv
黎巴嫩	.lb
賴索托	.ls
賴比瑞亞	.lr
利比亞	.ly
列支敦斯登	.li
立陶宛	.lt
盧森堡	.lu
中國澳門	.mo
北馬其頓	.mk
馬達加斯加	.mg
馬拉威	.mw
馬來西亞	.my
馬爾地夫	.mv
馬利	.ml
馬爾他	.mt
馬紹爾群島	.mh
馬丁尼克	.mq
茅利塔尼亞	.mr
模里西斯	.mu
馬約特	.yt
墨西哥	.mx
密克羅尼西亞聯邦	.fm
摩爾多瓦	.md
摩納哥	.mc
蒙古	.mn
蒙特內哥羅	.me
蒙哲臘	.ms
摩洛哥	.ma
莫三比克	.mz
納米比亞	.na
諾魯	.nr
尼泊爾	.np
荷蘭	.nl
荷屬安地列斯	.an
新喀里多尼亞	.nc
紐西蘭	.nz
尼加拉瓜	.ni
尼日	.ne
奈及利亞	.ng
紐埃	.nu
諾福克島	.nf
北馬利安納群島	.mp
挪威	.no
阿曼	.om
巴基斯坦	.pk
帛琉	.pw
巴拿馬	.pa
巴布亞紐幾內亞	.pg
巴拉圭	.py
秘魯	.pe
菲律賓	.ph
皮特肯群島	.pn
波蘭	.pl
葡萄牙	.pt
波多黎各	.pr
卡達	.qa
留尼旺	.re
羅馬尼亞	.ro
臺灣	.tw
俄羅斯	.ru
盧安達	.rw
聖巴瑟米	.bl
聖海蓮娜、阿森松和特里斯坦-達庫尼亞	.sh
聖克里斯多福及尼維斯	.kn
聖露西亞	.lc
法屬聖馬丁	.mf
聖文森及格瑞那丁	.vc
薩摩亞	.ws
聖馬利諾	.sm
聖多美普林西比	.st
沙烏地阿拉伯	.sa
塞內加爾	.sn
塞爾維亞	.rs
塞席爾	.sc
獅子山	.sl
新加坡	.sg
荷屬聖馬丁	.sx
斯洛伐克	.sk
斯洛維尼亞	.si
索羅門群島	.sb
索馬利亞	.so
南非	.za
南喬治亞和南桑威奇群島	.gs
南蘇丹	.ss
西班牙	.es
斯里蘭卡	.lk
蘇丹	.sd
蘇利南	.sr
聖皮埃與密克隆群島	.pm
史瓦帝尼	.sz
瑞典	.se
瑞士	.ch
敘利亞	.sy
塔吉克	.tj
坦尚尼亞	.tz
泰國	.th
東帝汶	.tl
多哥	.tg
托克勞	.tk
東加	.to
千里達及托巴哥	.tt
突尼西亞	.tn
土耳其	.tr
土庫曼	.tm
特克斯與凱科斯群島	.tc
吐瓦魯	.tv
烏干達	.ug
烏克蘭	.ua
阿聯	.ae
英國	.uk
美國	.us
美國本土外小島嶼	.um
烏拉圭	.uy
烏茲別克	.uz
萬那杜	.vu
委內瑞拉	.ve
越南	.vn
美屬維京群島	.vi
瓦利斯和富圖那	.wf
巴勒斯坦	.ps
西撒哈拉	.eh
歐盟	.eu
葉門	.ye
尚比亞	.zm
辛巴威	.zw
